Keyword,Rank,URL,Domain,PageType,Title,H1,WC_Main,WC_Total,Pricing,Packages,FAQ,Reviews,Images,InternalLinks
"animatori copii Floreasca",10,"https://yokidoki.ro/","yokidoki.ro","homepage","Yoki Doki - Animatori și petreceri pentru copii în România","Kids Event Agency",495,495,false,true,false,true,150,2
"petreceri copii Floreasca",1,"https://www.atelieruldepetreceri.ro/locatii/floreasca-aviatiei/","www.atelieruldepetreceri.ro","service","Floreasca – Aviatiei","Atelierul de Petreceri – Ziua ta, cea mai tare zi din an! – Petreceri copii, banchete scolare, pool party, street dance https://www.atelieruldepetreceri.ro",136,140,true,true,false,false,5,6
"petreceri copii Floreasca",2,"https://www.magiccastlebucuresti.ro/","www.magiccastlebucuresti.ro","homepage","Magic Castle Bucuresti","Un loc magic pentru copiii dumneavoastra",382,244,true,true,false,false,22,24
"petreceri copii Floreasca",3,"https://gokid.ro/aniversari-si-petreceri-de-vis-la-ar-studio-floreasca/","gokid.ro","landing","Aniversari si petreceri de vis la AR Studio - Floreasca! - GOKID!","Aniversari si petreceri de vis la AR Studio – Floreasca!",449,1950,true,false,false,false,65,7
"petreceri copii Floreasca",4,"https://www.party-starters.ro/","www.party-starters.ro","homepage","Petreceri Copii București | Party Starters","Petreceri Copii București — Party Starters",908,1203,true,true,true,false,20,37
"petreceri copii Floreasca",5,"https://www.bluparty.ro/locuri-de-joaca-bucuresti/","www.bluparty.ro","service","Locuri de joacă pentru copiii din București - BluParty","Locuri de joacã în București: unde se pot distra și relaxa copiii în capitalã",3942,4313,true,false,false,true,9,15
"petreceri copii Floreasca",6,"https://gymboland.ro/","gymboland.ro","homepage","Gymboland – Toți copiii sunt fericiți","Acasă",820,539,true,true,false,false,31,32
"petreceri copii Floreasca",7,"https://enjoyparty.ro/","enjoyparty.ro","homepage","Acasa - Joy Club Bucuresti | Organizare Petreceri Copii","",1996,1159,true,true,true,true,33,75
"petreceri copii Floreasca",8,"https://zilesinopti.ro/locuri/gymboland-promenada/","zilesinopti.ro","service","Gymboland Promenada • Zile și Nopți","Gymboland Promenada",642,642,false,true,false,false,11,1
"petreceri copii Floreasca",9,"https://www.kyp.ro/petreceri-copii-sector-2/","www.kyp.ro","landing","Petreceri Copii Sector 2 - Kyp","Petreceri Copii Sector 2",592,406,true,true,false,false,7,0
