keyword_cluster,service,location,existing_page,existing_url,matching_confidence,page_quality,cannibalization_risk,cannibalizing_urls,search_intent,should_improve_existing,should_create_new_page,priority,reason
"animatori moț și turtă Ilfov","animatori moț și turtă","Ilfov",true,"https://www.kassia.ro/animatori-petreceri-copii","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori moț și turtă Popești-Leordeni","animatori moț și turtă","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori moț și turtă Voluntari","animatori moț și turtă","Voluntari",true,"https://www.kassia.ro/animatori-petreceri-copii-voluntari","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori moț și turtă Pipera","animatori moț și turtă","Pipera",true,"https://www.kassia.ro/animatori-petreceri-copii-voluntari","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori moț și turtă Otopeni","animatori moț și turtă","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori moț și turtă Chiajna","animatori moț și turtă","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori moț și turtă Bragadiru","animatori moț și turtă","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori moț și turtă Măgurele","animatori moț și turtă","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori moț și turtă Pantelimon","animatori moț și turtă","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori moț și turtă Berceni","animatori moț și turtă","Berceni",true,"https://www.kassia.ro/animatori-petreceri-copii-berceni","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori moț și turtă Domnești","animatori moț și turtă","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori moț și turtă Tunari","animatori moț și turtă","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori moț și turtă Corbeanca","animatori moț și turtă","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez București","ursitoare botez","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Sector 1","ursitoare botez","Sector 1",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Sector 2","ursitoare botez","Sector 2",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Sector 3","ursitoare botez","Sector 3",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Sector 4","ursitoare botez","Sector 4",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Sector 5","ursitoare botez","Sector 5",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Sector 6","ursitoare botez","Sector 6",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Ilfov","ursitoare botez","Ilfov",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Popești-Leordeni","ursitoare botez","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Voluntari","ursitoare botez","Voluntari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Pipera","ursitoare botez","Pipera",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Otopeni","ursitoare botez","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Chiajna","ursitoare botez","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Bragadiru","ursitoare botez","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Măgurele","ursitoare botez","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Pantelimon","ursitoare botez","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Berceni","ursitoare botez","Berceni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Domnești","ursitoare botez","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Tunari","ursitoare botez","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"ursitoare botez Corbeanca","ursitoare botez","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori grădiniță București","animatori grădiniță","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori grădiniță Sector 1","animatori grădiniță","Sector 1",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-1","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori grădiniță Sector 2","animatori grădiniță","Sector 2",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-2","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori grădiniță Sector 3","animatori grădiniță","Sector 3",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-3","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori grădiniță Sector 4","animatori grădiniță","Sector 4",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-4","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori grădiniță Sector 5","animatori grădiniță","Sector 5",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-5","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori grădiniță Sector 6","animatori grădiniță","Sector 6",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-6","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori grădiniță Ilfov","animatori grădiniță","Ilfov",true,"https://www.kassia.ro/animatori-petreceri-copii","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori grădiniță Popești-Leordeni","animatori grădiniță","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori grădiniță Voluntari","animatori grădiniță","Voluntari",true,"https://www.kassia.ro/animatori-petreceri-copii-voluntari","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori grădiniță Pipera","animatori grădiniță","Pipera",true,"https://www.kassia.ro/animatori-petreceri-copii-voluntari","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori grădiniță Otopeni","animatori grădiniță","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori grădiniță Chiajna","animatori grădiniță","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori grădiniță Bragadiru","animatori grădiniță","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori grădiniță Măgurele","animatori grădiniță","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori grădiniță Pantelimon","animatori grădiniță","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori grădiniță Berceni","animatori grădiniță","Berceni",true,"https://www.kassia.ro/animatori-petreceri-copii-berceni","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori grădiniță Domnești","animatori grădiniță","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori grădiniță Tunari","animatori grădiniță","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori grădiniță Corbeanca","animatori grădiniță","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori școală București","animatori școală","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori școală Sector 1","animatori școală","Sector 1",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-1","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori școală Sector 2","animatori școală","Sector 2",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-2","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori școală Sector 3","animatori școală","Sector 3",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-3","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori școală Sector 4","animatori școală","Sector 4",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-4","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori școală Sector 5","animatori școală","Sector 5",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-5","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori școală Sector 6","animatori școală","Sector 6",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-6","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori școală Ilfov","animatori școală","Ilfov",true,"https://www.kassia.ro/animatori-petreceri-copii","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori școală Popești-Leordeni","animatori școală","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori școală Voluntari","animatori școală","Voluntari",true,"https://www.kassia.ro/animatori-petreceri-copii-voluntari","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori școală Pipera","animatori școală","Pipera",true,"https://www.kassia.ro/animatori-petreceri-copii-voluntari","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori școală Otopeni","animatori școală","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori școală Chiajna","animatori școală","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori școală Bragadiru","animatori școală","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori școală Măgurele","animatori școală","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori școală Pantelimon","animatori școală","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori școală Berceni","animatori școală","Berceni",true,"https://www.kassia.ro/animatori-petreceri-copii-berceni","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori școală Domnești","animatori școală","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori școală Tunari","animatori școală","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori școală Corbeanca","animatori școală","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii la restaurant București","animatori copii la restaurant","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii la restaurant Sector 1","animatori copii la restaurant","Sector 1",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-1","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii la restaurant Sector 2","animatori copii la restaurant","Sector 2",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-2","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii la restaurant Sector 3","animatori copii la restaurant","Sector 3",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-3","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii la restaurant Sector 4","animatori copii la restaurant","Sector 4",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-4","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii la restaurant Sector 5","animatori copii la restaurant","Sector 5",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-5","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii la restaurant Sector 6","animatori copii la restaurant","Sector 6",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-6","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii la restaurant Ilfov","animatori copii la restaurant","Ilfov",true,"https://www.kassia.ro/animatori-petreceri-copii","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii la restaurant Popești-Leordeni","animatori copii la restaurant","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii la restaurant Voluntari","animatori copii la restaurant","Voluntari",true,"https://www.kassia.ro/animatori-petreceri-copii-voluntari","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii la restaurant Pipera","animatori copii la restaurant","Pipera",true,"https://www.kassia.ro/animatori-petreceri-copii-voluntari","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii la restaurant Otopeni","animatori copii la restaurant","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii la restaurant Chiajna","animatori copii la restaurant","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii la restaurant Bragadiru","animatori copii la restaurant","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii la restaurant Măgurele","animatori copii la restaurant","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii la restaurant Pantelimon","animatori copii la restaurant","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii la restaurant Berceni","animatori copii la restaurant","Berceni",true,"https://www.kassia.ro/animatori-petreceri-copii-berceni","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii la restaurant Domnești","animatori copii la restaurant","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii la restaurant Tunari","animatori copii la restaurant","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii la restaurant Corbeanca","animatori copii la restaurant","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii București","evenimente corporate copii","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Sector 1","evenimente corporate copii","Sector 1",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Sector 2","evenimente corporate copii","Sector 2",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Sector 3","evenimente corporate copii","Sector 3",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Sector 4","evenimente corporate copii","Sector 4",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Sector 5","evenimente corporate copii","Sector 5",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Sector 6","evenimente corporate copii","Sector 6",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Ilfov","evenimente corporate copii","Ilfov",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Popești-Leordeni","evenimente corporate copii","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Voluntari","evenimente corporate copii","Voluntari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Pipera","evenimente corporate copii","Pipera",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Otopeni","evenimente corporate copii","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Chiajna","evenimente corporate copii","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Bragadiru","evenimente corporate copii","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Măgurele","evenimente corporate copii","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Pantelimon","evenimente corporate copii","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Berceni","evenimente corporate copii","Berceni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Domnești","evenimente corporate copii","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Tunari","evenimente corporate copii","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"evenimente corporate copii Corbeanca","evenimente corporate copii","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day București","Family Day","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Sector 1","Family Day","Sector 1",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Sector 2","Family Day","Sector 2",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Sector 3","Family Day","Sector 3",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Sector 4","Family Day","Sector 4",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Sector 5","Family Day","Sector 5",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Sector 6","Family Day","Sector 6",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Ilfov","Family Day","Ilfov",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Popești-Leordeni","Family Day","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Voluntari","Family Day","Voluntari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Pipera","Family Day","Pipera",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Otopeni","Family Day","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Chiajna","Family Day","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Bragadiru","Family Day","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Măgurele","Family Day","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Pantelimon","Family Day","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Berceni","Family Day","Berceni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Domnești","Family Day","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Tunari","Family Day","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Family Day Corbeanca","Family Day","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente București","Moș Crăciun evenimente","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Sector 1","Moș Crăciun evenimente","Sector 1",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Sector 2","Moș Crăciun evenimente","Sector 2",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Sector 3","Moș Crăciun evenimente","Sector 3",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Sector 4","Moș Crăciun evenimente","Sector 4",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Sector 5","Moș Crăciun evenimente","Sector 5",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Sector 6","Moș Crăciun evenimente","Sector 6",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Ilfov","Moș Crăciun evenimente","Ilfov",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Popești-Leordeni","Moș Crăciun evenimente","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Voluntari","Moș Crăciun evenimente","Voluntari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Pipera","Moș Crăciun evenimente","Pipera",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Otopeni","Moș Crăciun evenimente","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Chiajna","Moș Crăciun evenimente","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Bragadiru","Moș Crăciun evenimente","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Măgurele","Moș Crăciun evenimente","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Pantelimon","Moș Crăciun evenimente","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Berceni","Moș Crăciun evenimente","Berceni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Domnești","Moș Crăciun evenimente","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Tunari","Moș Crăciun evenimente","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Moș Crăciun evenimente Corbeanca","Moș Crăciun evenimente","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște București","Iepuraș de Paște","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Sector 1","Iepuraș de Paște","Sector 1",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Sector 2","Iepuraș de Paște","Sector 2",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Sector 3","Iepuraș de Paște","Sector 3",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Sector 4","Iepuraș de Paște","Sector 4",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Sector 5","Iepuraș de Paște","Sector 5",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Sector 6","Iepuraș de Paște","Sector 6",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Ilfov","Iepuraș de Paște","Ilfov",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Popești-Leordeni","Iepuraș de Paște","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Voluntari","Iepuraș de Paște","Voluntari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Pipera","Iepuraș de Paște","Pipera",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Otopeni","Iepuraș de Paște","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Chiajna","Iepuraș de Paște","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Bragadiru","Iepuraș de Paște","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Măgurele","Iepuraș de Paște","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Pantelimon","Iepuraș de Paște","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Berceni","Iepuraș de Paște","Berceni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Domnești","Iepuraș de Paște","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Tunari","Iepuraș de Paște","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"Iepuraș de Paște Corbeanca","Iepuraș de Paște","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"decoruri baloane București","decoruri baloane","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"decoruri baloane Sector 1","decoruri baloane","Sector 1",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"decoruri baloane Sector 2","decoruri baloane","Sector 2",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"decoruri baloane Sector 3","decoruri baloane","Sector 3",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"decoruri baloane Sector 4","decoruri baloane","Sector 4",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"decoruri baloane Sector 5","decoruri baloane","Sector 5",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"decoruri baloane Sector 6","decoruri baloane","Sector 6",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"decoruri baloane Ilfov","decoruri baloane","Ilfov",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"decoruri baloane Popești-Leordeni","decoruri baloane","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"decoruri baloane Voluntari","decoruri baloane","Voluntari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"decoruri baloane Pipera","decoruri baloane","Pipera",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"decoruri baloane Otopeni","decoruri baloane","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"decoruri baloane Chiajna","decoruri baloane","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
